# d,G,gamma
1.641891148947771217e+04,2.442348880240758496e-02,2.470000000000000068e-06
1.427982795035561321e+04,5.209161879129477896e-02,2.839999999999999914e-06
1.244009551503372495e+04,6.568572639895692289e-02,3.260000000000000128e-06
1.081458970106931883e+04,6.195073750905435300e-02,3.750000000000000095e-06
9.409445795593954244e+03,4.350531751646289497e-02,4.310000000000000239e-06
8.192870985658575592e+03,2.076153042152545716e-02,4.950000000000000041e-06
7.114861645440341817e+03,4.936862409781831926e-03,5.699999999999999636e-06
6.191558989161824684e+03,0.000000000000000000e+00,6.549999999999999968e-06
5.385751843162011937e+03,0.000000000000000000e+00,7.529999999999999903e-06
4.682992076098146754e+03,0.000000000000000000e+00,8.660000000000000095e-06
4.075850389850246302e+03,0.000000000000000000e+00,9.949999999999999603e-06
3.557430822720170909e+03,0.000000000000000000e+00,1.139999999999999927e-05
3.072326619621965619e+03,0.000000000000000000e+00,1.320000000000000067e-05
2.685742475431122784e+03,0.000000000000000000e+00,1.509999999999999942e-05
2.330730539023560141e+03,0.000000000000000000e+00,1.739999999999999942e-05
2.027735568950497509e+03,0.000000000000000000e+00,2.000000000000000164e-05
1.763248320826519603e+03,0.000000000000000000e+00,2.300000000000000002e-05
1.536163309810982810e+03,0.000000000000000000e+00,2.640000000000000135e-05
1.334036558520064091e+03,0.000000000000000000e+00,3.040000000000000032e-05
1.158706039400284453e+03,0.000000000000000000e+00,3.499999999999999693e-05
1.008823666144526101e+03,0.000000000000000000e+00,4.020000000000000136e-05
8.778076056062758425e+02,0.000000000000000000e+00,4.619999999999999812e-05
7.637422105274943078e+02,0.000000000000000000e+00,5.310000000000000321e-05
6.637432304256947191e+02,0.000000000000000000e+00,6.109999999999999438e-05
5.777024412964379962e+02,7.017188623878403524e-03,7.019999999999999873e-05
5.025366961463438997e+02,1.095457635306619631e-01,8.069999999999999645e-05
4.370119760669176117e+02,2.340106167612140686e-01,9.280000000000000597e-05
3.790159941963546544e+02,2.529985491065288028e-01,1.069999999999999988e-04
3.297131006423572899e+02,1.215436328697344637e-01,1.230000000000000082e-04
2.876220665178010449e+02,0.000000000000000000e+00,1.410000000000000120e-04
2.503377245617898268e+02,0.000000000000000000e+00,1.620000000000000075e-04
2.168701143262564131e+02,0.000000000000000000e+00,1.869999999999999917e-04
1.895079970981773272e+02,0.000000000000000000e+00,2.139999999999999975e-04
1.641891148947771342e+02,0.000000000000000000e+00,2.469999999999999865e-04
1.427982795035561310e+02,0.000000000000000000e+00,2.840000000000000185e-04
1.244009551503372535e+02,0.000000000000000000e+00,3.260000000000000094e-04
1.081458970106931758e+02,0.000000000000000000e+00,3.750000000000000078e-04
9.409445795593954642e+01,0.000000000000000000e+00,4.310000000000000137e-04
8.192870985658575478e+01,0.000000000000000000e+00,4.949999999999999973e-04
7.114861645440342386e+01,1.176834488215111217e-03,5.699999999999999772e-04
6.191558989161824655e+01,3.513810776869233030e-04,6.549999999999999833e-04
5.385751843162012165e+01,0.000000000000000000e+00,7.529999999999999801e-04
4.682992076098146583e+01,0.000000000000000000e+00,8.660000000000000163e-04
4.075850389850246103e+01,0.000000000000000000e+00,9.950000000000000077e-04
3.557430822720171193e+01,0.000000000000000000e+00,1.139999999999999954e-03
3.072326619621966159e+01,0.000000000000000000e+00,1.319999999999999993e-03
2.685742475431122500e+01,0.000000000000000000e+00,1.510000000000000057e-03
2.330730539023560155e+01,0.000000000000000000e+00,1.740000000000000010e-03
2.027735568950497580e+01,0.000000000000000000e+00,2.000000000000000042e-03
1.763248320826519588e+01,0.000000000000000000e+00,2.299999999999999961e-03
1.536163309810983080e+01,0.000000000000000000e+00,2.639999999999999986e-03
1.334036558520064020e+01,0.000000000000000000e+00,3.040000000000000167e-03
1.158706039400284205e+01,0.000000000000000000e+00,3.500000000000000073e-03
1.008823666144526143e+01,0.000000000000000000e+00,4.020000000000000136e-03
8.778076056062760202e+00,0.000000000000000000e+00,4.619999999999999975e-03
7.637422105274944251e+00,0.000000000000000000e+00,5.309999999999999616e-03
6.637432304256947191e+00,0.000000000000000000e+00,6.109999999999999980e-03
5.777024412964380851e+00,0.000000000000000000e+00,7.020000000000000198e-03
5.025366961463437754e+00,0.000000000000000000e+00,8.070000000000000784e-03
4.370119760669174624e+00,0.000000000000000000e+00,9.280000000000000054e-03
3.790159941963546775e+00,0.000000000000000000e+00,1.069999999999999944e-02
3.297131006423572597e+00,0.000000000000000000e+00,1.230000000000000017e-02
2.876220665178010005e+00,0.000000000000000000e+00,1.409999999999999969e-02
2.503377245617898428e+00,0.000000000000000000e+00,1.619999999999999912e-02
2.168701143262564024e+00,0.000000000000000000e+00,1.870000000000000134e-02
1.895079970981773387e+00,0.000000000000000000e+00,2.139999999999999888e-02
1.641891148947771217e+00,0.000000000000000000e+00,2.469999999999999973e-02
1.427982795035561470e+00,0.000000000000000000e+00,2.840000000000000163e-02
1.244009551503372668e+00,0.000000000000000000e+00,3.259999999999999704e-02
1.081458970106931927e+00,0.000000000000000000e+00,3.749999999999999861e-02
9.409445795593954776e-01,0.000000000000000000e+00,4.309999999999999942e-02
8.192870985658574634e-01,0.000000000000000000e+00,4.950000000000000233e-02
7.114861645440342386e-01,0.000000000000000000e+00,5.700000000000000205e-02
6.191558989161822790e-01,0.000000000000000000e+00,6.550000000000000266e-02
5.385751843162011054e-01,0.000000000000000000e+00,7.530000000000000582e-02
4.682992076098145273e-01,0.000000000000000000e+00,8.659999999999999643e-02
4.075850389850245725e-01,0.000000000000000000e+00,9.950000000000000511e-02
3.557430822720171193e-01,0.000000000000000000e+00,1.140000000000000041e-01
3.072326619621966182e-01,0.000000000000000000e+00,1.320000000000000062e-01
2.685742475431122656e-01,0.000000000000000000e+00,1.509999999999999953e-01
2.330730539023560255e-01,0.000000000000000000e+00,1.739999999999999880e-01
2.027735568950497502e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.763248320826519555e-01,0.000000000000000000e+00,2.300000000000000100e-01
1.536163309810983091e-01,0.000000000000000000e+00,2.640000000000000124e-01
1.334036558520064197e-01,0.000000000000000000e+00,3.039999999999999925e-01
1.158706039400284049e-01,0.000000000000000000e+00,3.499999999999999778e-01
1.008823666144526010e-01,0.000000000000000000e+00,4.020000000000000240e-01
8.778076056062759924e-02,7.516925964175423205e-07,4.620000000000000218e-01
7.637422105274942197e-02,0.000000000000000000e+00,5.310000000000000275e-01
6.637432304256947468e-02,0.000000000000000000e+00,6.109999999999999876e-01
5.777024412964380101e-02,0.000000000000000000e+00,7.019999999999999574e-01
5.025366961463437199e-02,0.000000000000000000e+00,8.070000000000000506e-01
4.370119760669174958e-02,0.000000000000000000e+00,9.280000000000000471e-01
3.790159941963546636e-02,0.000000000000000000e+00,1.070000000000000062e+00
3.297131006423573152e-02,0.000000000000000000e+00,1.229999999999999982e+00
2.876220665178010408e-02,0.000000000000000000e+00,1.409999999999999920e+00
2.503377245617897928e-02,0.000000000000000000e+00,1.620000000000000107e+00
2.168701143262563927e-02,0.000000000000000000e+00,1.870000000000000107e+00
1.895079970981773318e-02,0.000000000000000000e+00,2.140000000000000124e+00
1.641891148947770968e-02,0.000000000000000000e+00,2.470000000000000195e+00
